match_id,blue_champ_1,blue_champ_2,blue_champ_3,blue_champ_4,blue_champ_5,red_champ_1,red_champ_2,red_champ_3,red_champ_4,red_champ_5,blue_team_won
EUW1_7383860221,Gragas,Janna,Orianna,Shaco,Xayah,Graves,Kaisa,Rakan,Rumble,Viego,1
EUW1_7383875420,Jayce,Mel,Nautilus,Nidalee,Yone,Camille,Ezreal,Nami,TwistedFate,Viego,1
EUW1_7383896085,Darius,Ezreal,Kassadin,Nocturne,Yuumi,JarvanIV,Jinx,Singed,Soraka,Velkoz,0
EUW1_7383914538,Bard,Ezreal,Sett,Sylas,Talon,Draven,Fiora,Nidalee,Pyke,Ryze,0
EUW1_7384064142,DrMundo,Ezreal,Riven,Velkoz,Xerath,Alistar,Darius,FiddleSticks,Kaisa,Lissandra,0
EUW1_7385282533,Fizz,Gangplank,Lucian,Nami,Sejuani,Aurora,Caitlyn,Milio,Mordekaiser,Shaco,0
EUW1_7386586287,Nami,Shaco,Tristana,XinZhao,Yone,Fiora,MissFortune,Rell,TwistedFate,Warwick,0
EUW1_7388163518,Fiora,Leona,Lucian,Naafiri,Vex,Evelynn,Gangplank,Jhin,Kennen,Lux,1
EUW1_7388217498,Kassadin,Lux,Nasus,Vayne,XinZhao,Kayn,Sivir,Talon,Teemo,Yuumi,0
EUW1_7388268938,Blitzcrank,Kaisa,Kayle,Nocturne,Yasuo,Leona,Lissandra,Nasus,Shaco,Vayne,0
EUW1_7388296419,Ahri,Kaisa,Neeko,Shen,Vi,Kalista,Karma,Lillia,Sylas,Warwick,0
EUW1_7388341850,Gangplank,Kaisa,Karthus,Lulu,Syndra,Akshan,Ivern,Senna,Shen,Taliyah,0
EUW1_7388390735,Akali,Corki,Elise,Garen,Ivern,Hwei,Rell,Shen,Varus,Viego,0
EUW1_7389251435,Akali,Anivia,Caitlyn,Fizz,Gragas,Ezreal,Nocturne,Senna,Sett,Sion,1
EUW1_7389781003,Kaisa,Karthus,Nautilus,Urgot,Yasuo,Ezreal,Khazix,Leona,Nidalee,Taliyah,0
EUW1_7389803154,Akshan,Kayn,Pyke,Taliyah,Warwick,Ashe,Cassiopeia,Ivern,Janna,Jayce,1
EUW1_7389814915,Ambessa,Jhin,Taliyah,Udyr,Velkoz,Aurora,KSante,Leona,MissFortune,Volibear,1
EUW1_7389837873,Kayn,Mel,Nasus,Nautilus,Taliyah,Alistar,Ambessa,Jhin,Katarina,Zac,1
EUW1_7389897064,Heimerdinger,Janna,KSante,Nocturne,Vladimir,Akshan,Ezreal,Gragas,Naafiri,Sona,0
EUW1_7389940165,Ezreal,Jayce,Nocturne,Sylas,Thresh,Akali,Maokai,Nasus,Vi,Xayah,0
EUW1_7389956753,Caitlyn,Gwen,Neeko,Viego,Yasuo,Jax,Lillia,MissFortune,Rakan,Tristana,1
EUW1_7390014200,Ashe,Renekton,Senna,Shen,Zeri,Akshan,Galio,Pantheon,Sett,Xayah,0
EUW1_7390021579,Gangplank,Hwei,KSante,Katarina,TahmKench,Annie,JarvanIV,Kindred,Rell,Senna,1
EUW1_7390058468,Heimerdinger,JarvanIV,Jinx,Mordekaiser,Nami,MissFortune,Orianna,Renekton,Soraka,XinZhao,0
EUW1_7390087663,Anivia,Graves,Sion,Varus,Velkoz,Akshan,Diana,Garen,Lulu,Twitch,1
EUW1_7390448828,Blitzcrank,Draven,Ekko,Riven,Syndra,Akshan,Diana,Irelia,Lucian,Milio,1
EUW1_7390455376,Bard,Jhin,Taliyah,Udyr,Yone,DrMundo,Hwei,Jinx,KSante,Karma,1
EUW1_7390487616,Azir,Gangplank,Ivern,Kalista,Nautilus,Caitlyn,FiddleSticks,Garen,JarvanIV,Zoe,1
EUW1_7390504526,Jayce,Jhin,Rakan,Taliyah,XinZhao,Alistar,Kaisa,Naafiri,Orianna,Yasuo,1
EUW1_7390542850,Darius,Ezreal,Leona,Sylas,Warwick,Akali,Gangplank,JarvanIV,Shaco,Varus,1
EUW1_7390561565,Azir,Jhin,Naafiri,Poppy,Sion,Ezreal,Kayle,LeeSin,Lux,Malzahar,1
EUW1_7390565671,Jhin,Nautilus,Sion,Talon,Zoe,Ashe,Blitzcrank,Galio,Gwen,Zyra,0
EUW1_7390611948,Malphite,Smolder,Thresh,Veigar,XinZhao,Akshan,KogMaw,Lux,Shen,Teemo,1
EUW1_7390620926,Ekko,Janna,Kalista,Vladimir,Warwick,Akali,JarvanIV,Jax,Jhin,Poppy,1
EUW1_7390668796,Ivern,Jhin,Pantheon,Rumble,Tristana,Gwen,JarvanIV,MissFortune,Rell,Viktor,0
EUW1_7390952077,Ashe,Azir,Karma,Pantheon,Sion,Neeko,Taliyah,Varus,XinZhao,Yorick,0
EUW1_7391009416,Ezreal,Khazix,Leona,Shen,Taliyah,Gragas,Pantheon,Rumble,Ryze,Varus,1
EUW1_7391547848,Ashe,Blitzcrank,Gnar,Kayn,Taliyah,Lulu,Ryze,Varus,Viego,Yasuo,1
EUW1_7391613827,Ekko,Elise,Irelia,Malphite,Tristana,Akshan,Jayce,Kaisa,Neeko,Warwick,1
EUW1_7391622774,Ambessa,Ashe,Karma,Poppy,Viktor,Lulu,Naafiri,Nilah,Taliyah,Yasuo,1
EUW1_7392304763,Ezreal,Malphite,Sylas,TwistedFate,Warwick,Aatrox,Ekko,Kennen,MissFortune,Yone,1
EUW1_7392335947,Gwen,Leona,Lulu,Pantheon,Sivir,Alistar,Kennen,Syndra,Tristana,Warwick,0
EUW1_7392399557,Gragas,Lucian,Orianna,Rell,Warwick,JarvanIV,Jhin,Neeko,Pantheon,Viktor,1
EUW1_7392440872,Galio,Lucian,Nami,Nasus,Pantheon,Aatrox,Orianna,Thresh,Viego,Yasuo,1
EUW1_7392497250,Anivia,Kaisa,Katarina,Rell,Viego,Alistar,Ekko,Jayce,Jhin,Warwick,0
EUW1_7392546921,Akali,Malphite,MissFortune,Senna,Yorick,Cassiopeia,LeeSin,Morgana,Sion,Smolder,0
EUW1_7392564122,Mel,Pantheon,Rell,Renekton,Taliyah,Ivern,Jinx,Olaf,Thresh,Viktor,1
EUW1_7392577093,Aatrox,Gangplank,Kaisa,Karthus,Morgana,Amumu,Malphite,Nami,Xayah,Xerath,1
EUW1_7392785937,Annie,Singed,XinZhao,Yasuo,Yuumi,DrMundo,Lucian,Mel,Milio,Shaco,1
EUW1_7393301019,Aatrox,Corki,Ekko,Janna,Malzahar,Annie,Gragas,Soraka,Warwick,Zeri,1
EUW1_7393413302,KogMaw,Lulu,Ornn,Twitch,Warwick,Ashe,Corki,Rell,Teemo,Zac,1
EUW1_7393485101,Anivia,Heimerdinger,Poppy,Warwick,Zed,Kaisa,Naafiri,Orianna,Rakan,Zoe,1
EUW1_7393599834,Bard,Camille,DrMundo,Riven,Teemo,Fizz,Illaoi,Irelia,Ryze,Yasuo,1
EUW1_7393612057,Akali,Alistar,Jayce,Lucian,Vi,Diana,Mel,Rakan,Warwick,Xayah,1
EUW1_7393631756,Annie,FiddleSticks,Jhin,Leona,Sona,Katarina,MasterYi,Shen,Taliyah,Warwick,1
EUW1_7393662448,Blitzcrank,Fiora,Mel,Shaco,Vayne,Hecarim,Lulu,Rengar,Shaco,Zilean,1
EUW1_7393980964,Akali,KSante,MissFortune,Rell,XinZhao,Gragas,Gwen,Khazix,Syndra,Tristana,0
EUW1_7394003361,Ezreal,Kayle,Leona,Lillia,Yorick,Jayce,Lucian,Maokai,Nautilus,Xerath,1
